,risk_sc,betweenness,degree_centrality,closeness_centrality
Huikku Hailuoto,0.5671490982763971,0.32727272727272727,0.5454545454545454,0.6111111111111112
Huittinen  Pahkionvuori tv,0.38007563110975623,0.36363636363636365,0.4545454545454546,0.6470588235294118
Ii  Kuivaniemi tv,0.5092443838347134,0.02727272727272727,0.5454545454545454,0.6111111111111112
Kemi Ajos,0.5092443838347134,0.02727272727272727,0.5454545454545454,0.6111111111111112
Kokkola tv 1 ja 2,0.33501218658440374,0.6,0.8181818181818182,0.8461538461538461
Lumijoki,0.39239131420208645,0.0,0.5454545454545454,0.6111111111111112
Olkiluoto tv,0.542197255789189,0.0,0.2727272727272727,0.44
Oulunsalo Riutunkari tv,0.39239131420208645,0.0,0.5454545454545454,0.6111111111111112
Summa tv,0.4451225018353016,0.0,0.09090909090909091,0.4074074074074074
Tahkoluoto Offshore tv,0.4715159582220978,0.1909090909090909,0.36363636363636365,0.6111111111111112
Tahkoluoto tv,0.4715159582220978,0.1909090909090909,0.36363636363636365,0.6111111111111112
Tornio tv,0.3573769335807454,0.0,0.5454545454545454,0.6111111111111112
